fips,income_per_capita_2018
1001,41618
1003,45596
1005,35199
1007,30254
1009,34976
1011,28797
1013,36450
1015,37120
1017,33859
1019,35505
1021,34798
1023,39280
1025,36361
1027,33530
1029,36159
1031,43094
1033,38378
1035,32656
1037,31328
1039,35651
1041,36645
1043,39607
1045,36613
1047,36026
1049,31916
1051,42269
1053,32996
1055,36918
1057,34966
1059,34318
1061,35192
1063,32359
1065,36585
1067,40360
1069,42398
1071,36567
1073,54730
1075,33496
1077,37151
1079,34125
1081,38036
1083,42546
1085,38991
1087,32919
1089,51445
1091,39801
1093,33264
1095,36044
1097,38243
1099,33456
1101,43688
1103,39991
1105,30535
1107,32551
1109,37359
1111,32411
1113,33104
1115,38569
1117,54369
1119,31664
1121,34718
1123,40696
1125,38822
1127,40197
1129,36323
1131,32215
1133,35430
2013,56676
2016,54385
2020,66510
2050,43500
2060,143575
2068,82919
2070,59621
2090,56606
2100,67059
2105,61752
2110,68145
2122,52015
2130,67602
2150,63938
2158,30099
2164,65414
2170,45897
2180,51378
2185,83489
2188,47854
2195,69995
2198,43707
2220,71972
2230,81471
2240,49398
2261,62307
2275,47658
2282,58937
2290,59010
4001,34355
4003,40308
4005,48129
4007,40267
4009,31597
4011,39855
4012,30948
4013,47694
4015,33148
4017,32165
4019,44028
4021,30644
4023,39057
4025,40312
4027,35682
5001,45290
5003,34813
5005,37106
5007,88890
5009,36089
5011,39491
5013,34426
5015,33690
5017,36293
5019,36314
5021,34149
5023,38307
5025,40344
5027,38749
5029,38191
5031,37531
5033,32952
5035,36978
5037,35949
5039,34645
5041,37828
5043,37148
5045,37598
5047,34275
5049,28994
5051,40004
5053,38201
5055,34895
5057,32515
5059,30580
5061,35292
5063,35086
5065,30608
5067,35880
5069,35356
5071,28970
5073,36292
5075,35126
5077,27619
5079,27002
5081,34086
5083,34490
5085,38764
5087,35496
5089,30743
5091,33401
5093,31428
5095,32651
5097,30834
5099,34180
5101,28808
5103,36907
5105,34877
5107,31128
5109,33113
5111,32315
5113,30751
5115,35261
5117,35935
5119,51185
5121,33486
5123,27948
5125,41397
5127,31401
5129,28511
5131,42110
5133,31436
5135,32012
5137,31086
5139,46474
5141,31176
5143,40247
5145,35445
5147,37545
5149,33320
6001,76644
6003,73307
6005,44793
6007,44346
6009,49893
6011,49094
6013,82506
6015,37268
6017,67464
6019,43084
6021,48613
6023,48739
6025,36974
6027,61358
6029,39703
6031,35306
6033,43185
6035,37844
6037,62224
6039,39897
6041,134275
6043,53143
6045,50150
6047,38519
6049,44822
6051,51325
6053,56193
6055,74984
6057,61799
6059,69268
6061,66700
6063,53599
6065,40637
6067,52544
6069,53822
6071,40316
6073,61386
6075,130696
6077,44995
6079,58491
6081,126392
6083,62690
6085,107877
6087,69355
6089,46582
6091,46615
6093,45065
6095,51664
6097,64501
6099,44120
6101,44535
6103,42483
6105,40640
6107,40420
6109,47838
6111,61712
6113,54118
6115,40929
8001,43315
8003,37351
8005,60180
8007,41947
8009,40968
8011,27574
8013,73394
8014,66410
8015,46998
8017,56699
8019,61300
8021,36894
8023,34282
8025,19141
8027,41681
8029,38855
8031,79849
8033,34935
8035,73662
8037,78152
8039,57334
8041,48467
8043,35435
8045,59653
8047,48128
8049,49845
8051,47149
8053,50698
8055,42459
8057,49723
8059,63536
8061,50117
8063,37274
8065,37106
8067,55807
8069,54188
8071,40765
8073,28828
8075,48161
8077,44935
8079,71095
8081,42130
8083,42998
8085,39930
8087,45685
8089,38190
8091,59639
8093,45113
8095,44399
8097,149207
8099,42259
8101,39511
8103,46809
8105,46717
8107,83702
8109,30172
8111,44029
8113,85432
8115,49004
8117,67763
8119,49197
8121,44687
8123,46172
8125,50364
9001,120630
9003,64853
9005,64949
9007,68673
9009,56650
9011,59264
9013,56614
9015,47264
10001,42023
10003,56745
10005,50333
11001,82005
12001,44390
12003,32313
12005,43231
12007,33557
12009,45425
12011,50269
12013,26873
12015,41564
12017,37920
12019,42909
12021,92686
12023,35074
12027,23610
12029,27956
12031,46174
12033,42537
12035,46220
12037,35988
12039,35139
12041,33774
12043,24467
12045,35701
12047,26016
12049,28285
12051,31071
12053,36878
12055,33453
12057,47000
12059,30468
12061,76059
12063,32106
12065,40736
12067,24148
12069,42190
12071,51266
12073,44482
12075,35204
12077,23582
12079,31675
12081,47378
12083,36997
12085,83873
12086,50022
12087,92119
12089,57877
12091,48875
12093,30661
12095,44647
12097,33346
12099,79760
12101,40313
12103,53455
12105,35463
12107,31773
12109,68149
12111,39374
12113,44527
12115,64868
12117,49049
12119,46100
12121,33068
12123,30346
12125,22227
12127,42374
12129,37026
12131,59728
12133,29414
13001,33268
13003,30511
13005,33080
13007,38666
13009,33203
13011,36276
13013,36898
13015,38298
13017,31436
13019,31535
13021,41709
13023,33672
13025,27413
13027,34944
13029,52456
13031,32382
13033,35524
13035,34297
13037,24638
13039,36113
13043,31385
13045,38571
13047,35158
13049,24976
13051,47563
13053,31115
13055,30946
13057,51137
13059,33970
13061,31520
13063,28020
13065,37548
13067,57162
13069,32644
13071,32526
13073,49473
13075,32524
13077,46438
13079,33784
13081,32540
13083,35640
13085,45201
13087,36150
13089,50871
13091,30682
13093,28297
13095,34744
13097,35230
13099,38945
13101,27880
13103,41942
13105,35448
13107,32187
13109,35212
13111,35727
13113,63515
13115,38524
13117,62580
13119,36672
13121,84386
13123,35419
13125,33931
13127,46073
13129,36947
13131,34899
13133,55396
13135,41458
13137,33925
13139,43701
13141,29917
13143,36508
13145,47469
13147,38125
13149,31144
13151,39184
13153,42625
13155,32824
13157,42211
13159,40606
13161,29943
13163,34034
13165,29250
13167,26195
13169,37618
13171,33079
13173,27561
13175,37372
13177,47258
13179,35805
13181,37333
13183,27071
13185,37443
13187,37427
13189,36982
13191,29519
13193,31028
13195,36557
13197,29333
13199,34847
13201,40826
13205,35069
13207,44790
13209,29408
13211,50541
13213,29968
13215,44149
13217,33750
13219,66740
13221,37709
13223,37727
13225,38066
13227,47887
13229,36065
13231,39851
13233,32368
13235,30358
13237,41839
13239,30902
13241,41128
13243,33238
13245,38196
13247,35244
13249,30931
13251,35010
13253,40217
13255,34772
13257,38915
13259,22771
13261,35847
13263,34504
13265,33927
13267,28406
13269,30141
13271,20923
13273,40325
13275,44355
13277,37805
13279,35517
13281,37858
13283,30119
13285,36476
13287,34396
13289,39530
13291,36581
13293,35133
13295,32826
13297,40458
13299,33906
13301,34598
13303,35296
13305,31954
13307,33109
13309,19631
13311,34961
13313,38752
13315,26712
13317,39472
13319,35204
13321,34380
15001,42449
15003,59608
15007,49416
15901,49040
16001,52958
16003,37452
16005,38160
16007,38493
16009,37383
16011,36335
16013,113780
16015,43392
16017,41209
16019,48287
16021,36934
16023,38961
16025,38600
16027,32680
16029,39146
16031,45220
16033,39408
16035,34506
16037,43185
16039,36855
16041,36064
16043,36908
16045,37796
16047,52875
16049,35122
16051,34900
16053,38184
16055,44987
16057,41341
16059,41565
16061,47267
16063,34821
16065,26407
16067,38159
16069,44397
16071,35234
16073,33372
16075,38933
16077,36667
16079,35537
16081,39858
16083,39623
16085,49630
16087,36225
17001,46886
17003,34713
17005,37653
17007,47437
17009,35166
17011,43931
17013,42511
17015,42399
17017,42649
17019,45328
17021,41724
17023,43012
17025,40351
17027,48253
17029,40995
17031,62205
17033,48332
17035,43778
17037,40929
17039,47205
17041,51537
17043,72889
17045,42184
17047,40331
17049,50599
17051,35456
17053,52879
17055,37355
17057,38361
17059,44602
17061,36912
17063,51657
17065,43349
17067,46081
17069,37155
17071,41951
17073,45072
17075,43258
17077,37284
17079,45961
17081,39581
17083,41522
17085,49061
17087,35956
17089,51333
17091,41290
17093,49033
17095,39471
17097,78559
17099,44632
17101,29911
17103,41788
17105,44775
17107,38339
17109,38692
17111,55720
17113,49180
17115,48214
17117,41607
17119,46890
17121,43059
17123,46015
17125,42510
17127,38360
17129,47233
17131,45046
17133,58686
17135,37717
17137,41359
17139,62718
17141,46755
17143,51135
17145,38369
17147,54258
17149,42768
17151,30306
17153,36146
17155,58869
17157,36905
17159,42555
17161,44802
17163,45061
17165,39687
17167,48891
17169,44200
17171,42720
17173,41512
17175,42877
17177,42722
17179,47862
17181,42760
17183,39481
17185,43571
17187,41274
17189,51144
17191,41164
17193,49605
17195,44016
17197,52953
17199,44509
17201,43742
17203,52928
18001,39167
18003,46288
18005,49922
18007,42775
18009,37677
18011,73531
18013,46785
18015,44201
18017,38788
18019,43763
18021,38615
18023,39172
18025,33483
18027,42064
18029,47454
18031,42733
18033,44069
18035,37201
18037,56488
18039,46816
18041,40939
18043,55480
18045,41010
18047,46629
18049,41437
18051,45385
18053,40444
18055,39840
18057,74717
18059,50422
18061,41862
18063,49641
18065,38336
18067,41842
18069,42292
18071,42722
18073,43293
18075,39321
18077,41981
18079,38959
18081,48332
18083,44626
18085,47799
18087,42146
18089,45172
18091,42527
18093,40614
18095,38172
18097,51940
18099,41329
18101,39941
18103,35039
18105,42212
18107,40056
18109,44183
18111,39818
18113,39798
18115,40714
18117,38124
18119,40081
18121,36345
18123,37851
18125,40714
18127,53130
18129,48180
18131,43522
18133,37479
18135,38491
18137,41817
18139,46945
18141,47673
18143,37475
18145,43854
18147,43971
18149,35347
18151,43231
18153,35181
18155,30827
18157,39169
18159,46610
18161,38998
18163,45893
18165,39411
18167,38970
18169,43820
18171,45419
18173,56476
18175,38123
18177,41505
18179,42730
18181,43852
18183,44528
19001,51989
19003,66319
19005,45745
19007,38478
19009,48279
19011,53994
19013,44764
19015,49606
19017,49405
19019,46491
19021,50000
19023,49863
19025,51217
19027,54456
19029,48327
19031,53356
19033,53342
19035,62827
19037,58354
19039,43888
19041,51876
19043,50371
19045,44244
19047,41765
19049,66128
19051,36921
19053,35908
19055,51998
19057,50515
19059,58592
19061,49085
19063,43501
19065,44263
19067,46560
19069,51971
19071,45399
19073,48356
19075,53270
19077,52694
19079,53071
19081,54791
19083,52677
19085,44895
19087,43223
19089,48232
19091,50201
19093,52758
19095,55204
19097,45167
19099,43551
19101,42320
19103,52672
19105,43652
19107,44509
19109,52992
19111,42174
19113,52743
19115,41038
19117,42126
19119,60892
19121,49505
19123,43914
19125,48956
19127,43652
19129,56647
19131,63318
19133,48118
19135,43833
19137,42280
19139,47553
19141,59835
19143,57164
19145,41629
19147,53056
19149,57589
19151,52699
19153,53215
19155,45604
19157,46950
19159,45714
19161,56931
19163,54323
19165,50834
19167,56029
19169,41885
19171,46483
19173,41585
19175,40494
19177,41378
19179,39002
19181,50698
19183,57438
19185,43981
19187,45496
19189,44528
19191,50175
19193,43988
19195,42321
19197,56451
20001,40218
20003,38539
20005,37436
20007,42497
20009,48036
20011,42697
20013,43023
20015,46157
20017,46385
20019,40661
20021,39645
20023,47268
20025,62654
20027,42069
20029,38144
20031,54074
20033,45954
20035,38707
20037,37921
20039,46614
20041,40582
20043,37405
20045,43642
20047,52165
20049,40899
20051,46465
20053,43316
20055,43172
20057,38962
20059,42383
20061,48907
20063,58539
20065,49624
20067,46591
20069,66429
20071,59191
20073,42708
20075,63834
20077,47024
20079,42057
20081,52783
20083,49176
20085,41686
20087,44480
20089,48428
20091,74010
20093,56466
20095,42572
20097,44262
20099,42127
20101,93628
20103,42851
20105,41574
20107,37267
20109,47852
20111,38297
20113,51016
20115,41410
20117,45766
20119,64262
20121,48748
20123,54694
20125,37576
20127,42424
20129,43644
20131,54111
20133,39485
20135,57310
20137,42080
20139,40102
20141,46018
20143,41201
20145,39223
20147,51320
20149,52564
20151,47327
20153,55821
20155,41111
20157,44273
20159,42788
20161,42566
20163,42363
20165,44302
20167,44443
20169,49983
20171,69254
20173,53776
20175,38621
20177,46861
20179,50706
20181,45156
20183,45484
20185,44534
20187,63897
20189,38970
20191,40027
20193,45671
20195,50889
20197,50534
20199,56954
20201,45181
20203,70142
20205,43433
20207,35561
20209,33315
21001,31288
21003,32643
21005,39321
21007,37939
21009,36633
21011,30496
21013,29612
21015,48004
21017,44388
21019,39746
21021,37780
21023,36758
21025,33753
21027,34461
21029,40935
21031,34420
21033,35066
21035,35722
21037,49015
21039,43860
21041,36349
21043,30847
21045,31205
21047,37742
21049,39848
21051,30566
21053,31308
21055,35325
21057,35549
21059,41754
21061,32253
21063,22481
21065,31555
21067,50180
21069,33537
21071,36976
21073,41760
21075,33715
21077,32065
21079,34363
21081,36093
21083,38130
21085,33580
21087,34570
21089,40933
21091,36929
21093,43424
21095,30877
21097,34889
21099,32133
21101,39891
21103,37981
21105,44912
21107,39236
21109,28352
21111,51937
21113,43470
21115,32986
21117,57982
21119,30118
21121,29431
21123,36525
21125,33921
21127,31654
21129,30157
21131,32724
21133,30852
21135,31156
21137,31399
21139,37792
21141,36005
21143,36652
21145,48383
21147,25835
21149,41603
21151,35397
21153,30537
21155,36083
21157,41625
21159,29840
21161,40541
21163,40026
21165,30305
21167,37146
21169,31512
21171,36385
21173,34751
21175,26831
21177,33892
21179,42442
21181,33999
21183,33262
21185,63039
21187,33940
21189,31486
21191,43757
21193,38523
21195,36319
21197,31498
21199,37024
21201,32815
21203,31176
21205,30777
21207,34343
21209,43409
21211,45392
21213,38189
21215,43960
21217,35020
21219,38508
21221,36495
21223,36565
21225,33736
21227,38045
21229,37824
21231,28484
21233,39188
21235,33447
21237,31083
21239,51753
22001,37304
22003,33381
22005,49829
22007,46788
22009,37911
22011,42782
22013,38493
22015,44149
22017,48413
22019,48968
22021,33950
22023,50280
22025,33655
22027,35240
22029,32942
22031,40584
22033,51386
22035,36010
22037,42771
22039,33671
22041,31928
22043,31828
22045,39270
22047,41423
22049,34116
22051,51005
22053,42334
22055,50273
22057,47096
22059,32413
22061,40410
22063,40658
22065,32437
22067,38495
22069,39860
22071,52004
22073,41053
22075,49376
22077,44366
22079,46090
22081,42201
22083,37330
22085,34558
22087,32130
22089,49353
22091,41592
22093,48484
22095,40573
22097,41191
22099,37645
22101,39280
22103,62366
22105,38974
22107,36630
22109,41504
22111,38794
22113,39042
22115,40729
22117,33480
22119,40175
22121,46976
22123,36633
22125,38655
22127,36698
23001,41528
23003,41241
23005,62523
23007,38544
23009,51259
23011,44940
23013,52358
23015,50922
23017,37999
23019,42053
23021,38427
23023,51325
23025,38142
23027,40912
23029,40378
23031,52068
24001,40517
24003,67363
24005,61556
24009,62591
24011,45906
24013,63039
24015,47695
24017,57051
24019,46562
24021,61869
24023,45595
24025,58841
24027,78416
24029,61497
24031,89690
24033,49420
24035,64810
24037,56820
24039,31562
24041,73232
24043,47092
24045,42054
24047,60007
24510,51357
25001,74756
25003,56503
25005,54089
25007,93726
25009,67507
25011,54689
25013,51187
25015,52984
25017,83795
25019,124168
25021,92285
25023,67505
25025,81152
25027,57003
26001,38375
26003,33767
26005,45182
26007,40985
26009,47070
26011,37369
26013,33519
26015,44919
26017,41722
26019,43557
26021,47430
26023,37622
26025,40276
26027,44994
26029,52885
26031,40080
26033,34269
26035,34120
26037,46518
26039,34648
26041,40551
26043,49397
26045,42693
26047,57115
26049,41068
26051,36874
26053,39945
26055,50639
26057,37834
26059,36598
26061,37674
26063,45425
26065,40761
26067,35273
26069,37970
26071,44959
26073,35501
26075,39832
26077,48723
26079,34623
26081,53935
26083,47618
26085,31813
26087,43679
26089,67320
26091,39600
26093,58326
26095,31827
26097,44457
26099,46530
26101,38814
26103,40036
26105,41667
26107,34252
26109,43594
26111,60467
26113,34972
26115,47496
26117,34972
26119,37363
26121,39072
26123,38037
26125,72741
26127,37950
26129,35396
26131,40129
26133,36023
26135,33896
26137,40589
26139,49418
26141,39004
26143,37141
26145,38754
26147,44316
26149,38866
26151,38004
26153,39948
26155,39435
26157,37979
26159,41123
26161,59363
26163,42942
26165,36454
27001,39780
27003,51258
27005,47272
27007,41565
27009,43830
27011,57221
27013,44383
27015,52995
27017,43098
27019,71350
27021,47443
27023,49836
27025,48750
27027,43180
27029,44001
27031,55319
27033,47982
27035,45610
27037,60651
27039,47984
27041,53665
27043,43343
27045,45378
27047,45808
27049,53549
27051,52556
27053,74698
27055,52354
27057,43235
27059,44049
27061,43685
27063,53276
27065,42509
27067,54667
27069,55597
27071,41890
27073,55688
27075,48132
27077,57357
27079,48799
27081,48520
27083,49455
27085,49136
27087,36950
27089,51509
27091,50083
27093,43944
27095,41582
27097,42568
27099,48423
27101,54825
27103,49605
27105,45100
27107,44254
27109,58554
27111,48275
27113,55399
27115,37067
27117,58004
27119,48820
27121,52091
27123,54934
27125,51750
27127,49732
27129,51432
27131,44096
27133,51956
27135,51307
27137,47417
27139,59687
27141,47031
27143,46632
27145,47196
27147,47604
27149,49913
27151,51320
27153,42005
27155,61255
27157,48724
27159,39746
27161,44556
27163,67928
27165,42979
27167,59516
27169,50036
27171,50181
27173,57186
28001,33880
28003,36003
28005,33460
28007,33809
28009,30285
28011,38213
28013,33043
28015,37615
28017,34805
28019,33646
28021,31494
28023,36431
28025,39191
28027,33915
28029,33203
28031,35748
28033,40702
28035,38880
28037,33970
28039,32529
28041,28716
28043,35632
28045,35262
28047,37303
28049,39311
28051,28371
28053,31864
28055,18541
28057,34734
28059,37499
28061,37281
28063,33098
28065,30097
28067,38122
28069,29287
28071,42110
28073,40529
28075,37959
28077,34616
28079,31436
28081,41934
28083,36399
28085,38682
28087,38498
28089,64033
28091,34526
28093,32341
28095,34664
28097,34180
28099,36604
28101,34645
28103,32805
28105,34367
28107,32496
28109,36230
28111,31934
28113,31048
28115,32996
28117,30743
28119,27088
28121,44661
28123,32095
28125,32070
28127,37036
28129,35791
28131,31516
28133,30859
28135,27757
28137,35182
28139,33919
28141,33559
28143,32425
28145,32242
28147,31757
28149,39580
28151,37568
28153,34775
28155,38464
28157,29413
28159,35742
28161,36729
28163,27275
29001,33578
29003,45118
29005,42633
29007,40111
29009,34540
29011,35884
29013,38864
29015,35973
29017,32454
29019,47687
29021,39810
29023,35302
29025,37301
29027,38686
29029,38794
29031,46314
29033,45110
29035,32045
29037,47151
29039,31664
29041,42227
29043,40301
29045,34516
29047,48381
29049,42988
29051,47790
29053,38916
29055,36090
29057,34181
29059,33184
29061,34491
29063,28294
29065,33231
29067,28305
29069,34129
29071,45719
29073,40316
29075,41470
29077,44837
29079,34723
29081,38274
29083,43018
29085,27787
29087,45259
29089,38796
29091,34055
29093,34164
29095,47054
29097,39973
29099,42780
29101,36777
29103,32711
29105,36558
29107,42119
29109,34301
29111,35249
29113,40788
29115,40356
29117,39805
29119,28018
29121,42414
29123,36865
29125,33348
29127,41068
29129,32388
29131,35547
29133,32216
29135,37533
29137,42672
29139,40396
29141,42873
29143,33869
29145,39334
29147,31013
29149,28722
29151,45582
29153,30043
29155,32811
29157,41321
29159,37763
29161,39132
29163,34828
29165,58878
29167,33703
29169,40512
